 Pincode,State Code,Dispatch Center,Prepaid,Reverse Pickup,REPL,COD,Cash,fm_serviceble
231207,,Chopan_Lokocly_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
231210,,Marihan_ChcHospital_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
231212,,Dudhinagar_MyorpurRd_D (Uttar Pradesh),Y,Y,N,Y,N,True
231217,,Renukoot_Kharpathar_I (Uttar Pradesh),Y,Y,N,Y,N,True
231219,,Chopan_Lokocly_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
231226,,Dudhinagar_MyorpurRd_D (Uttar Pradesh),Y,Y,N,Y,N,True
231302,,Parora_Narayanpur_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
231305,,Parora_Narayanpur_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
231310,,Marihan_ChcHospital_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
232103,,Chakia_Highway_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
232118,,Chakia_Highway_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
232221,,Renukoot_Kharpathar_I (Uttar Pradesh),Y,Y,N,Y,N,True
233222,,Mohammadabad_Central_DPP_1 (Uttar Pradesh),Y,Y,N,Y,N,False
233227,,Ghazipur_Miranpur_I (Uttar Pradesh),Y,Y,N,Y,N,True
233230,,Ghazipur_Miranpur_I (Uttar Pradesh),Y,Y,N,Y,N,True
241126,,Sandila_SubabDPP_D (Uttar Pradesh),Y,Y,N,Y,N,True
241127,,Sandila_SubabDPP_D (Uttar Pradesh),Y,Y,N,Y,N,True
241204,,Sandila_SubabDPP_D (Uttar Pradesh),Y,Y,N,Y,N,True
241304,,Mishrikh_Naimishrnya_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
242021,,Babrala_RajghatRd_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
242401,,Khutar_MailaniRd_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
242405,,Khutar_MailaniRd_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
243722,,Babrala_RajghatRd_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
243723,,Babrala_RajghatRd_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
243751,,Babrala_RajghatRd_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
244227,,Kanth_ModaPatti_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
244501,,Kanth_ModaPatti_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
244502,,Kanth_ModaPatti_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
244924,,Rampur_AghapurRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
244925,,Rampur_AghapurRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
244927,,Rampur_AghapurRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
244928,,Rudrapur_Daanpur_H (Uttarakhand),Y,Y,Y,Y,Y,True
246448,,Rudraprayag_Punar_DPP (Uttarakhand),Y,Y,N,Y,N,False
246722,,Afjalgarh_JaspurRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
246724,,Nagina_DhampurRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
246745,,Kanth_ModaPatti_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
246762,,Nagina_DhampurRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
247342,,Gangoh_BypassRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
247662,,Chhutmalpur_KalsiyaRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
247772,,Thanabhawan_FlourMill_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
247777,,Thanabhawan_FlourMill_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
248179,,Mussoorie_BrlwgDPP_D (Uttarakhand),Y,Y,N,Y,N,True
251301,,Thanabhawan_FlourMill_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
261401,,Mishrikh_Naimishrnya_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
261402,,Mishrikh_Naimishrnya_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
262401,,Kashipur_Ward4_D (Uttarakhand),Y,Y,N,Y,N,True
262803,,Khutar_MailaniRd_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
263637,,Someshwar_Lakhnari_DPP (Uttarakhand),Y,Y,N,Y,N,False
263639,,Someshwar_Lakhnari_DPP (Uttarakhand),Y,Y,N,Y,N,False
